customer_id,first_name,last_name,email,phone
10001,raja,ganesh,rajaganesh@gmail.com,9121234567
10002,ravi,teja,raviteja@yahoo.com,9123456789
10003,sundram,mohan,mohansundaram@gmail.com,9923456789
10004,kumar,menon,kumarmenon@gmail.com,9992345678
10005,sneha,nair,sneha@gmail.com,7623456780
10006,prithi,nair,prithvi@gmail.com,9441234567
10007,arun,kumar,runkumar@ymail.com,9992345600
10008,parthiv,patel,parthivpatel@gmail.com,9134426272
10009,ashwin,kumar,ahwin@yahoo.com,8111111111
10010,dravid,warner,dravid@hotmail.com,9123466880
